21856, 32.866486, -117.218000, 0.00, 0, 1295, 0, 0, 356, -0.05, -0.11, 0.93
21896, 32.866486, -117.218000, 0.00, 0, 1298, 0, 0, 356, -0.10, -0.07, 0.95
21934, 32.866486, -117.218000, 0.00, 0, 1298, 0, 0, 356, -0.04, -0.07, 0.96
21974, 32.866486, -117.218000, 0.00, 0, 1294, 0, 0, 356, -0.04, -0.01, 0.93
22011, 32.866486, -117.218000, 0.00, 0, 1295, 0, 0, 356, -0.05, -0.02, 0.93
22050, 32.866486, -117.218000, 0.00, 0, 1295, 0, 0, 356, -0.09, -0.02, 0.91
22091, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.14, -0.31, 1.02
22131, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.06, -0.04, 0.92
22176, 32.866486, -117.218000, 0.00, 0, 1304, 0, 0, 356, -0.05, -0.10, 0.92
22210, 32.866486, -117.218000, 0.00, 0, 1306, 0, 0, 356, -0.07, -0.11, 0.93
22252, 32.866486, -117.218000, 0.00, 0, 1306, 0, 0, 356, -0.05, -0.10, 0.92
22292, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.07, -0.07, 0.90
22330, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.04, -0.11, 0.90
22372, 32.866486, -117.218000, 0.00, 0, 1294, 0, 0, 356, -0.04, -0.10, 0.96
22411, 32.866486, -117.218000, 0.00, 0, 1298, 0, 0, 356, -0.04, -0.11, 0.93
22468, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.05, -0.11, 0.93
22496, 32.866486, -117.218000, 0.00, 0, 1296, 0, 0, 356, -0.05, -0.07, 0.93
22530, 32.866486, -117.218000, 0.00, 0, 1300, 0, 0, 356, -0.05, -0.10, 0.95
22573, 32.866486, -117.218000, 0.00, 0, 1300, 0, 0, 356, -0.06, -0.11, 0.91
22610, 32.866486, -117.218000, 0.00, 0, 1295, 0, 0, 356, -0.05, -0.08, 0.93
22649, 32.866486, -117.218000, 0.00, 0, 1295, 0, 0, 356, -0.05, -0.08, 0.94
22691, 32.866486, -117.218000, 0.00, 0, 1298, 0, 0, 356, -0.04, -0.11, 0.96
22735, 32.866486, -117.218000, 0.00, 0, 1292, 0, 0, 356, -0.05, -0.11, 0.93
22771, 32.866486, -117.218000, 0.00, 0, 1292, 0, 0, 356, -0.05, -0.07, 0.93
22809, 32.866486, -117.218000, 0.00, 0, 1287, 0, 0, 356, -0.05, -0.10, 0.95
22851, 32.866486, -117.218000, 0.00, 0, 1288, 0, 0, 356, -0.06, -0.11, 0.93
22891, 32.866486, -117.218000, 0.00, 0, 1288, 0, 0, 356, -0.05, -0.09, 0.93
